C:\Users\Lenovo\.conda\envs\d2l_env\python.exe E:\python\大模型应用开发\实验二\nanoGPT-master\train.py 
tokens per iteration will be: 4,096
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
E:\python\大模型应用开发\实验二\nanoGPT-master\model.py:64: UserWarning: 1Torch was not compiled with flash attention. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\aten\src\ATen\native\transformers\cuda\sdp_utils.cpp:555.)
  y = torch.nn.functional.scaled_dot_product_attention(q, k, v, attn_mask=None, dropout_p=self.dropout if self.training else 0, is_causal=True)
iter 2470: loss 1.4187, time 57.29ms, mfu 1.97%
iter 2480: loss 1.4502, time 54.64ms, mfu 1.95%
iter 2490: loss 1.3002, time 63.32ms, mfu 1.90%
step 2500: train loss 1.2975, val loss 1.5332
saving checkpoint to out-shakespeare-char
iter 2500: loss 1.3772, time 5157.15ms, mfu 1.71%
iter 2510: loss 1.3494, time 21.92ms, mfu 1.96%
iter 2520: loss 1.3892, time 15.39ms, mfu 2.37%
iter 2530: loss 1.2930, time 31.31ms, mfu 2.43%
iter 2540: loss 1.3200, time 25.38ms, mfu 2.56%
iter 2550: loss 1.3303, time 14.94ms, mfu 2.92%
iter 2560: loss 1.4071, time 25.77ms, mfu 2.99%
iter 2570: loss 1.4242, time 27.11ms, mfu 3.04%
iter 2580: loss 1.3775, time 24.87ms, mfu 3.11%
iter 2590: loss 1.2908, time 24.63ms, mfu 3.18%
iter 2600: loss 1.3733, time 33.12ms, mfu 3.14%
iter 2610: loss 1.4537, time 30.27ms, mfu 3.13%
iter 2620: loss 1.3576, time 31.15ms, mfu 3.12%
iter 2630: loss 1.3384, time 18.26ms, mfu 3.32%
iter 2640: loss 1.3304, time 26.47ms, mfu 3.34%
iter 2650: loss 1.2808, time 30.10ms, mfu 3.31%
iter 2660: loss 1.3292, time 16.05ms, mfu 3.56%
iter 2670: loss 1.4184, time 22.88ms, mfu 3.61%
iter 2680: loss 1.3214, time 17.00ms, mfu 3.80%
iter 2690: loss 1.3479, time 16.46ms, mfu 3.99%
iter 2700: loss 1.3348, time 31.36ms, mfu 3.88%
iter 2710: loss 1.3444, time 18.93ms, mfu 3.99%
iter 2720: loss 1.3573, time 24.39ms, mfu 3.97%
iter 2730: loss 1.3906, time 28.80ms, mfu 3.90%
iter 2740: loss 1.4013, time 30.87ms, mfu 3.81%
step 2750: train loss 1.2779, val loss 1.5181
saving checkpoint to out-shakespeare-char
iter 2750: loss 1.3294, time 2867.71ms, mfu 3.43%
iter 2760: loss 1.3089, time 15.88ms, mfu 3.68%
iter 2770: loss 1.3154, time 28.00ms, mfu 3.64%
iter 2780: loss 1.2712, time 14.44ms, mfu 3.92%
iter 2790: loss 1.4170, time 13.52ms, mfu 4.22%
iter 2800: loss 1.3683, time 16.78ms, mfu 4.35%
iter 2810: loss 1.3886, time 14.01ms, mfu 4.58%
iter 2820: loss 1.3336, time 14.80ms, mfu 4.75%
iter 2830: loss 1.3236, time 22.01ms, mfu 4.70%
iter 2840: loss 1.3721, time 31.22ms, mfu 4.53%
iter 2850: loss 1.3289, time 31.11ms, mfu 4.38%
iter 2860: loss 1.3267, time 22.43ms, mfu 4.35%
iter 2870: loss 1.3591, time 14.09ms, mfu 4.58%
iter 2880: loss 1.3525, time 27.44ms, mfu 4.46%
iter 2890: loss 1.3665, time 23.59ms, mfu 4.41%
iter 2900: loss 1.2776, time 23.96ms, mfu 4.36%
iter 2910: loss 1.3208, time 15.37ms, mfu 4.53%
iter 2920: loss 1.3080, time 32.26ms, mfu 4.36%
iter 2930: loss 1.2184, time 19.79ms, mfu 4.40%
